,date,race,poll_grade,Sample,sample_type,pollster,poll_link,Biden,Trump,method,polls,advanced,predictive,grade,banned,Biden_adj,Trump_adj,leader,leader_adj,rep_success,dem_success,other_success
11,2020-03-25 00:00:00.000000,michigan,B/C,600,LV,Marketing Resource Group (MRG),https://www.mrgmi.com/2020/03/25/ballot-test-race-for-the-white-house-within-the-margin-of-error-with-biden-on-top/,44.0,41.0,Live,10,+1.7,+1.0, B/C,,43.7,41.0,Biden,Biden,246.0,262.0,92.0
12,2020-03-30 00:00:00.000000,new-york,A-,566,RV,Siena College,https://scri.siena.edu/wp-content/uploads/2020/03/SNY0320-Crosstabs.pdf,58.0,33.0,Online/live,53,-0.9,-0.5, A-,,58.0,32.3,Biden,Biden,183.0,328.0,55.0
13,2020-04-01 00:00:00.000000,california,B,962,V,Public Policy Polling,https://www.strother-nuckels.com/wp-content/uploads/2020/03/CaliforniaResults1.pdf,67.0,29.0,IVR/text,423,-0.4,+0.1, B,,66.7,29.0,Biden,Biden,279.0,642.0,41.0
14,2020-04-02 00:00:00.000000,michigan,B,"1,019",V,Public Policy Polling,https://progressmichigan.org/wp-content/uploads/2020/04/MIToplines1.pdf,48.0,45.0,IVR/text,423,-0.4,+0.1, B,,47.7,45.0,Biden,Biden,459.0,486.0,74.0
15,2020-04-03 00:00:00.000000,michigan,B/C,602,LV,Spry Strategies,https://americanprinciplesproject.org/wp-content/uploads/2020/04/Michigan-April-2020-Poll.pdf,46.0,46.0,IVR/online/live,4,-1.4,+0.6, B/C,,46.0,45.7,Tie,Biden,275.0,277.0,50.0
16,2020-04-06 00:00:00.000000,florida,A/B,"3,244",RV,University of North Florida,https://www.unf.edu/uploadedFiles/aa/coas/porl/UNF%20PORL%20COVID-19%20Survey.pdf,46.0,40.0,Online/live,9,-0.4,-0.1, A/B,,45.3,40.0,Biden,Biden,1298.0,1470.0,476.0
17,2020-04-13 00:00:00.000000,utah,B/C,"1,266",LV,Y2 Analytics,https://www.utpoliticaltrends.com/s/Utah-Policy-Survey-Topline-Report-030420-with-Primary-Weights-FPR.pdf,41.0,46.0,Online/live,4,-1.5,+0.6, B/C,,40.6,46.0,Trump,Trump,582.0,514.0,170.0
18,2020-04-14 00:00:00.000000,virginia,B/C,663,LV,Virginia Commonwealth University,https://drive.google.com/file/d/1AqGAm2-OgF5nP6--TsNavnVAgas55jTJ/view,51.0,41.0,Live,5,+0.5,+0.5, B/C,,51.0,40.8,Biden,Biden,271.0,338.0,54.0
19,2020-04-14 00:00:00.000000,arizona,B/C,600,LV,OH Predictive Insights,https://ohpredictive.com/press-releases/bidenextendslead/,52.0,43.0,IVR/online/live,6,+1.2,+1.1, B/C,,52.0,42.1,Biden,Biden,253.0,312.0,35.0
20,2020-04-16 00:00:00.000000,north-carolina,B,"1,318",V,Public Policy Polling,https://www.publicpolicypolling.com/wp-content/uploads/2020/04/NCResultsApril2020.pdf,48.0,47.0,IVR/text,423,-0.4,+0.1, B,,47.7,47.0,Biden,Biden,619.0,629.0,70.0
21,2020-04-18 00:00:00.000000,florida,C,"5,659",RV,St. Pete Polls,http://stpetepolls.org/files/StPetePolls_2020_State_President_April17_G84JW.pdf,48.0,48.0,IVR,22,+0.5,+1.0, C,,48.0,47.6,Tie,Biden,2694.0,2716.0,249.0
22,2020-04-19 00:00:00.000000,indiana,C-,"1,021",LV,Change Research,http://indypolitics.org/poll-positions-9/,39.0,52.0,Online,65,+1.0,+1.3, C-,,37.9,52.0,Trump,Trump,531.0,387.0,103.0
23,2020-04-22 00:00:00.000000,michigan,A-,801,RV,Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-04/topline_swing_state_kp_04_23_2020__0.pdf,49.0,41.0,Online,66,+0.4,+0.5, B-,,48.6,41.0,Biden,Biden,328.0,389.0,84.0
24,2020-04-22 00:00:00.000000,pennsylvania,A-,803,RV,Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-04/topline_swing_state_kp_04_23_2020__0.pdf,50.0,42.0,Online,66,+0.4,+0.5, B-,,49.6,42.0,Biden,Biden,337.0,398.0,68.0
25,2020-04-22 00:00:00.000000,wisconsin,B-,645,RV,Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-04/topline_swing_state_kp_04_23_2020__0.pdf,43.0,40.0,Online,66,+0.4,+0.5, B-,,42.6,40.0,Biden,Biden,258.0,275.0,112.0
26,2020-04-22 00:00:00.000000,florida,B+,"1,385",RV,Quinnipiac University,https://poll.qu.edu/florida/release-detail?ReleaseID=3659,46.0,42.0,Live,207,-0.2,-0.2, B+,,45.8,42.0,Biden,Biden,582.0,634.0,169.0
27,2020-04-23 00:00:00.000000,wisconsin,B,"1,415",V,Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-04/topline_swing_state_kp_04_23_2020__0.pdf,50.0,45.0,Online,66,+0.4,+0.5, B-,,49.6,45.0,Biden,Biden,637.0,702.0,76.0
28,2020-04-23 00:00:00.000000,new-jersey,A+,635,RV,Monmouth University,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_nj_042320.pdf/,54.0,38.0,Live,108,-2.0,-1.6, A+,,52.7,38.0,Biden,Biden,241.0,335.0,59.0
29,2020-04-23 00:00:00.000000,pennsylvania,B,"1,251",V,Susquehanna Polling & Research Inc.,https://www.fox43.com/article/news/fox43-poll-majority-approve-wolf-biden-leads-trump/521-f7d7fd42-1e39-43fd-864f-0ede71dfc711,51.0,44.0,IVR/online/live,38,+0.7,+1.0, C,,50.1,44.0,Biden,Biden,550.0,627.0,74.0
30,2020-04-23 00:00:00.000000,north-carolina,B,"1,275",V,Public Policy Polling,https://www.protectourcare.org/wp-content/uploads/2020/04/NorthCarolinaResults1.pdf,49.0,46.0,IVR/text,423,-0.4,+0.1, B,,48.7,46.0,Biden,Biden,586.0,621.0,68.0
31,2020-04-23 00:00:00.000000,michigan,B,"1,277",V,Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-04/topline_swing_state_kp_04_23_2020__0.pdf,51.0,44.0,Online,66,+0.4,+0.5, B-,,50.6,44.0,Biden,Biden,562.0,646.0,69.0
32,2020-04-24 00:00:00.000000,new-mexico,B,"1,009",V,Public Policy Polling,https://majorityinstitute.com/latest/lujan-grisham-bests-trump-51-points-coronavirus-response,52.0,40.0,IVR/text,423,-0.4,+0.1, B,,51.7,40.0,Biden,Biden,404.0,522.0,83.0
33,2020-04-25 00:00:00.000000,texas,B,"1,200",RV,YouGov,https://www.texastribune.org/2020/04/25/trump-biden-texas-coronavirus-poll/,44.0,49.0,Online,416,-0.2,+0.3, B,,43.6,49.0,Trump,Trump,588.0,523.0,89.0
34,2020-04-27 00:00:00.000000,new-york,A-,803,RV,Siena College,https://scri.siena.edu/wp-content/uploads/2020/04/SNY0420-Crosstabs.pdf,65.0,29.0,Online/live,53,-0.9,-0.5, A-,,65.0,28.3,Biden,Biden,227.0,522.0,54.0
35,2020-04-28 00:00:00.000000,north-carolina,A,580,LV,SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=8e72c24e-b823-4a36-b5d6-984918df4ef9,50.0,45.0,IVR/online/live,787,-1.1,-0.8, A,,49.9,45.0,Biden,Biden,261.0,289.0,30.0
36,2020-04-29 00:00:00.000000,north-carolina,B/C,800,LV,Garin-Hart-Yang Research Group,https://nmcdn.io/e186d21f8c7946a19faed23c3da2f0da/7c49efadc86e4da38d1ad3086f727890/files/RFNC-Yang-Polling-Memo---Covid-19.pdf,48.0,45.0,Online/live,24,-0.5,+0.4, B/C,,46.7,45.0,Biden,Biden,360.0,374.0,66.0
37,2020-04-29 00:00:00.000000,texas,B,"1,032",V,Public Policy Polling,https://static.texastribune.org/media/files/d72e152a3ad3380ae5a007c0849f2dd1/DTPPP-Texas-April27-28-2020.pdf,47.0,46.0,IVR/text,423,-0.4,+0.1, B,,46.7,46.0,Biden,Biden,475.0,482.0,75.0
38,2020-04-29 00:00:00.000000,utah,B/C,964,RV,RMG Research,https://www.deseret.com/utah/2020/4/28/21240213/poll-donald-trump-lead-over-joe-biden-holds-steady-in-utah,32.0,51.0,IVR/online,1,-5.1,+1.2, B/C,,32.0,51.0,Trump,Trump,492.0,308.0,164.0
39,2020-04-30 00:00:00.000000,michigan,B,"1,270",V,Public Policy Polling,https://progressmichigan.org/wp-content/uploads/2020/04/Lake-Effect-Poll-April.pdf,50.0,42.0,IVR/text,423,-0.4,+0.1, B,,49.7,42.0,Biden,Biden,533.0,631.0,106.0
40,2020-05-01 00:00:00.000000,pennsylvania,B/C,644,LV,Harper Polling,http://www.harperpolling.com/docs/default-source/default-document-library/20-04-harper-polling-pa-statewide-results.pdf,49.0,43.0,IVR/live,11,-1.9,+0.1, B/C,,48.9,43.0,Biden,Biden,277.0,315.0,52.0
41,2020-05-01 00:00:00.000000,north-carolina,B/C,604,RV,Meredith College,https://www.meredith.edu/assets/images/content/Meredith_College_Poll_Report_April_2020_-_COVID-19.pdf,47.0,40.0,Online/live,1,+3.0,+1.0, B/C,,47.0,40.0,Biden,Biden,242.0,284.0,78.0
42,2020-05-01 00:00:00.000000,georgia,A/B,591,LV,Cygnal,https://assets.documentcloud.org/documents/6880530/20426-GHRT-GA-Toplines.pdf,44.0,45.0,IVR/online/live/text,13,-3.0,-0.1, A/B,,43.0,45.0,Trump,Trump,266.0,254.0,71.0
43,2020-05-02 00:00:00.000000,texas,B/C,"1,183",RV,University of Texas at Tyler,https://projects.fivethirtyeight.com/polls/20200502_TX.pdf,43.0,43.0,Online/live,3,+1.1,+0.9, B/C,,43.0,42.7,Tie,Biden,505.0,509.0,169.0
44,2020-05-04 00:00:00.000000,iowa,B,"1,222",V,Public Policy Polling,https://www.publicpolicypolling.com/wp-content/uploads/2020/05/IowaResultsMay2020.pdf,46.0,48.0,IVR/text,423,-0.4,+0.1, B,,45.7,48.0,Trump,Trump,587.0,558.0,77.0
45,2020-05-05 00:00:00.000000,north-carolina,B/C,"1,362",RV,Civiqs,https://civiqs.com/documents/Civiqs_DailyKos_NC_banner_book_2020_05_kld8fh.pdf,49.0,46.0,Online,3,-1.4,+1.0, B/C,,49.0,46.0,Biden,Biden,627.0,667.0,68.0
46,2020-05-06 00:00:00.000000,nevada,B/C,763,LV,ALG Research,https://thenevadaindependent.com/article/poll-sisolak-looks-strong-despite-shutdown-biden-has-small-lead-over-trump,49.0,45.0,Online/live,15,+1.3,+1.1, B/C,,47.5,45.0,Biden,Biden,343.0,362.0,58.0
47,2020-05-06 00:00:00.000000,new-york,B+,915,RV,Quinnipiac University,https://poll.qu.edu/connecticut/release-detail?ReleaseID=3660,55.0,32.0,Live,207,-0.2,-0.2, B+,,54.8,32.0,Biden,Biden,293.0,501.0,121.0
48,2020-05-06 00:00:00.000000,new-jersey,B+,941,RV,Quinnipiac University,https://poll.qu.edu/connecticut/release-detail?ReleaseID=3660,54.0,35.0,Live,207,-0.2,-0.2, B+,,53.8,35.0,Biden,Biden,329.0,506.0,106.0
49,2020-05-06 00:00:00.000000,connecticut,B+,945,RV,Quinnipiac University,https://poll.qu.edu/connecticut/release-detail?ReleaseID=3660,56.0,33.0,Live,207,-0.2,-0.2, B+,,55.8,33.0,Biden,Biden,312.0,527.0,106.0
50,2020-05-06 00:00:00.000000,colorado,B/C,600,LV,Keating Research/OnSight Public Affairs/Melanson,https://ewscripps.brightspotcdn.com/00/84/bbf8579e40d3ab2839a2f96d81d9/kom-colorado-poll-may-2020-topline-results-all-questions-for-release.pdf,55.0,36.0,Online/live,1,-3.9,+0.8, B/C,,55.0,35.9,Biden,Biden,215.0,330.0,55.0
51,2020-05-07 00:00:00.000000,massachusetts,A-,740,RV,University of Massachusetts Lowell,https://www.uml.edu/docs/2020-COVID-Topline_tcm18-325770.pdf,67.0,33.0,Online,19,-0.6,-0.1, A/B,,67.0,32.8,Biden,Biden,243.0,496.0,1.0
52,2020-05-11 00:00:00.000000,ohio,A-,725,RV,Emerson College,https://emersonpolling.reportablenews.com/pr/ohio-texas-and-california-2020-trump-with-narrow-leads-in-ohio-and-texas-but-has-widespread-expectation-of-being-re-elected,49.0,51.0,IVR/online/text,165,-0.7,-0.4, A-,,48.7,51.0,Trump,Trump,370.0,353.0,2.0
53,2020-05-11 00:00:00.000000,california,A-,800,RV,Emerson College,https://emersonpolling.reportablenews.com/pr/ohio-texas-and-california-2020-trump-with-narrow-leads-in-ohio-and-texas-but-has-widespread-expectation-of-being-re-elected,65.0,35.0,IVR/online/text,165,-0.7,-0.4, A-,,64.7,35.0,Biden,Biden,280.0,518.0,2.0
54,2020-05-11 00:00:00.000000,texas,A-,800,RV,Emerson College,https://emersonpolling.reportablenews.com/pr/ohio-texas-and-california-2020-trump-with-narrow-leads-in-ohio-and-texas-but-has-widespread-expectation-of-being-re-elected,48.0,52.0,IVR/online/text,165,-0.7,-0.4, A-,,47.7,52.0,Trump,Trump,416.0,382.0,2.0
55,2020-05-12 00:00:00.000000,nebraska,B/C,448,LV,DCCC Targeting and Analytics Department,https://twitter.com/allymutnick/status/1260396059685199872,52.0,41.0,IVR/live,1,-2.0,+0.8, B/C,,51.8,41.0,Biden,Biden,184.0,232.0,32.0
56,2020-05-13 00:00:00.000000,georgia,B+,500,LV,Public Opinion Strategies,https://assets.documentcloud.org/documents/6889420/Georgia-Statewide-Key-Findings-Memo.pdf,47.0,46.0,Online/live,64,-0.4,0.0, B+,,47.0,44.5,Biden,Biden,222.0,235.0,43.0
57,2020-05-14 00:00:00.000000,new-jersey,B/C,"1,364",RV,Rutgers University,https://eagletonpoll.rutgers.edu/wp-content/uploads/2020/05/Vote-By-Mail-NJ-Primaries-2020.pdf,56.0,33.0,Live,14,+1.8,+0.1, B/C,,56.0,33.0,Biden,Biden,450.0,764.0,150.0
58,2020-05-15 00:00:00.000000,north-carolina,B/C,"1,111",RV,East Carolina University,https://surveyresearch-ecu.reportablenews.com/pr/presidential-and-senate-races-remain-close-in-north-carolina-cooper-leads-forest-and-earns-high-approval-for-state-s-coronavirus-response,43.0,46.0,IVR/online,3,+2.1,+0.7, B/C,,43.0,46.0,Trump,Trump,511.0,478.0,122.0
59,2020-05-15 00:00:00.000000,florida,B/C,928,RV,Florida Atlantic University,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-leads-trump-in-florida.php,53.0,47.0,IVR/online,8,-2.0,+0.5, B/C,,52.6,47.0,Biden,Biden,436.0,488.0,4.0
60,2020-05-15 00:00:00.000000,georgia,B/C,700,LV,BK Strategies,https://assets.documentcloud.org/documents/6890619/RSLC-Georgia-Memo-May-2020.pdf,46.0,48.0,IVR/live,3,-1.0,+0.7, B/C,,45.6,48.0,Trump,Trump,336.0,319.0,45.0
61,2020-05-18 00:00:00.000000,colorado,B/C,800,RV,Global Strategy Group,https://www.globalstrategygroup.com/wp-content/uploads/2020/05/CO-Mountaineer-Q2-Survey-Topline-F05.13.2020.pdf,53.0,40.0,Online/live/text,22,+1.6,+1.2, B/C,,51.2,40.0,Biden,Biden,320.0,410.0,70.0
62,2020-05-19 00:00:00.000000,arizona,B/C,600,LV,OH Predictive Insights,https://cdn2.hubspot.net/hubfs/7453540/Arizona%20Public%20Opinion%20Pulse%20-%20Presidential.pdf,50.0,43.0,IVR/online/live,6,+1.2,+1.1, B/C,,50.0,42.1,Biden,Biden,253.0,300.0,47.0
63,2020-05-19 00:00:00.000000,tennessee,B/C,536,LV,East Tennessee State University,https://www.etsu.edu/cas/sociology/asrl/documents/tnpoll5_bannertablespr2.pdf,36.0,53.0,Live,2,+3.8,+0.7, B/C,,35.1,53.0,Trump,Trump,284.0,188.0,64.0
64,2020-05-19 00:00:00.000000,florida,C/D,"2,149",LV,Point Blank Political,https://www.pointblankpolitical.com/may-2020-Florida-general-poll/,52.0,48.0,Online/text,6,+3.4,+1.9, C/D,,52.0,48.0,Biden,Biden,1032.0,1117.0,0.0
65,2020-05-19 00:00:00.000000,georgia,B/C,"1,339",RV,Civiqs,https://civiqs.com/documents/Civiqs_DailyKos_GA_banner_book_2020_05_h79s1a.pdf,48.0,47.0,Online,3,-1.4,+1.0, B/C,,48.0,47.0,Biden,Biden,629.0,643.0,67.0
66,2020-05-19 00:00:00.000000,virginia,B/C,563,LV,Roanoke College,https://www.roanoke.edu/about/news/rc_poll_politics_may_2020,51.0,39.0,Live,16,+4.0,+1.1, B/C,,50.5,39.0,Biden,Biden,220.0,284.0,59.0
67,2020-05-20 00:00:00.000000,california,A,537,LV,SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=4b9bd0e5-3f07-4da9-b86f-370c0255240e,58.0,30.0,IVR/online/live,787,-1.1,-0.8, A,,57.9,30.0,Biden,Biden,161.0,311.0,65.0
68,2020-05-20 00:00:00.000000,kentucky,B,"1,104",V,Public Policy Polling,https://www.publicpolicypolling.com/wp-content/uploads/2020/05/KentuckyResultsMay2020.pdf,39.0,55.0,IVR/text,423,-0.4,+0.1, B,,38.7,55.0,Trump,Trump,607.0,427.0,70.0
69,2020-05-21 00:00:00.000000,washington,A,530,LV,SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=eb9c7a11-4c4c-469e-aad9-6fb9ce040a5b,57.0,31.0,IVR/online/live,787,-1.1,-0.8, A,,56.9,31.0,Biden,Biden,164.0,302.0,64.0
70,2020-05-22 00:00:00.000000,washington,B,"1,070",LV,Public Policy Polling,https://www.nwprogressive.org/weblog/2020/05/npi-poll-finds-joe-biden-on-track-for-landslide-washington-state-win-in-november-2020.html,59.0,37.0,IVR/text,423,-0.4,+0.1, B,,58.7,37.0,Biden,Biden,396.0,628.0,46.0
71,2020-05-24 00:00:00.000000,minnesota,B+,800,RV,Mason-Dixon Polling & Strategy,https://www.startribune.com/star-tribune-mpr-news-kare-11-minnesota-poll-presidential-race/570571341/,49.0,44.0,Live,433,-0.6,-0.3, B+,,49.0,43.4,Biden,Biden,347.0,392.0,61.0
72,2020-05-26 00:00:00.000000,arizona,B/C,400,LV,HighGround Inc.,https://www.azhighground.com/blog/post/dead-heat-in-the-desert--trump-trails-biden-by-2-points-in-arizona,47.0,45.0,Live,2,-0.7,+0.5, B/C,,47.0,44.6,Biden,Biden,178.0,188.0,34.0
73,2020-05-26 00:00:00.000000,maryland,B/C,810,LV,Gonzales Research & Marketing Strategies Inc.,http://projects.fivethirtyeight.com/polls/20200526_MD.pdf,59.0,35.0,Live,9,+1.1,+0.6, B/C,,59.0,34.7,Biden,Biden,281.0,478.0,51.0
74,2020-05-26 00:00:00.000000,utah,B/C,"1,078",LV,Y2 Analytics,https://www.utpoliticaltrends.com/s/UPTP-May-2020-Topline-FPR-0526.pdf,41.0,44.0,Online/live,4,-1.5,+0.6, B/C,,40.6,44.0,Trump,Trump,474.0,438.0,166.0
75,2020-05-27 00:00:00.000000,south-carolina,B/C,591,RV,Civiqs,https://civiqs.com/documents/Civiqs_DailyKos_SC_banner_book_2020_05_b68sg1x.pdf,42.0,52.0,Online,3,-1.4,+1.0, B/C,,42.0,52.0,Trump,Trump,307.0,248.0,36.0
76,2020-05-27 00:00:00.000000,new-york,A-,796,RV,Siena College,https://scri.siena.edu/wp-content/uploads/2020/05/SNY0520-Crosstabs052720.pdf,57.0,32.0,Online/live,53,-0.9,-0.5, A-,,57.0,31.3,Biden,Biden,249.0,454.0,93.0
77,2020-05-28 00:00:00.000000,florida,C,"4,763",RV,St. Pete Polls,http://stpetepolls.org/files/StPetePolls_2020_State_President-Gen_May27_M17DA.pdf,48.0,47.0,IVR,22,+0.5,+1.0, C,,48.0,46.6,Biden,Biden,2220.0,2286.0,257.0
78,2020-05-28 00:00:00.000000,missouri,C,500,LV,We Ask America,http://www.weaskamerica.com/surveys/missouri-statewide-general-election-survey-results,44.0,48.0,IVR/online/live/text,53,+1.0,+1.2, C,,44.0,47.2,Trump,Trump,236.0,220.0,44.0
79,2020-05-28 00:00:00.000000,indiana,B/C,894,LV,Victoria Research & Consulting,https://www.slideshare.net/IndianaBarrister/karen-tallian-attorney-general-poll,39.0,49.0,Live/text,1,+1.0,+0.9, B/C,,38.9,49.0,Trump,Trump,438.0,348.0,108.0
80,2020-06-01 00:00:00.000000,michigan,B,"1,582",V,Public Policy Polling,https://progressmichigan.org/wp-content/uploads/2020/06/Lake-Effect-Poll-May.pdf,50.0,44.0,IVR/text,423,-0.4,+0.1, B,,49.7,44.0,Biden,Biden,696.0,786.0,100.0
81,2020-06-02 00:00:00.000000,kansas,B/C,699,RV,Civiqs,https://civiqs.com/documents/Civiqs_DailyKos_KS_banner_book_2020_06_ng72o3.pdf,40.0,52.0,Online,3,-1.4,+1.0, B/C,,40.0,52.0,Trump,Trump,363.0,280.0,56.0
82,2020-06-03 00:00:00.000000,wisconsin,A-,801,RV,Change Research,https://www.changeresearch.com/post/states-of-play-battleground-wave-6,49.0,40.0,Online,65,+1.0,+1.3, C-,,47.9,40.0,Biden,Biden,320.0,384.0,97.0
83,2020-06-03 00:00:00.000000,michigan,C-,620,LV,Change Research,https://www.changeresearch.com/post/states-of-play-battleground-wave-6,48.0,46.0,Online,65,+1.0,+1.3, C-,,46.9,46.0,Biden,Biden,285.0,291.0,44.0
84,2020-06-03 00:00:00.000000,pennsylvania,C-,579,LV,Change Research,https://www.changeresearch.com/post/states-of-play-battleground-wave-6,46.0,50.0,Online,65,+1.0,+1.3, C-,,44.9,50.0,Trump,Trump,290.0,260.0,29.0
85,2020-06-03 00:00:00.000000,texas,B+,"1,166",RV,Quinnipiac University,https://poll.qu.edu/texas/release-detail?ReleaseID=3662,43.0,44.0,Live,207,-0.2,-0.2, B+,,42.8,44.0,Trump,Trump,513.0,499.0,154.0
86,2020-06-03 00:00:00.000000,north-carolina,C-,806,LV,Harper Polling,https://www.nccivitas.org/2020/gov-roy-coopers-job-approval-takes-dip-president-trumps-job-disapproval-climbs/,46.0,45.0,IVR/live,11,-1.9,+0.1, B/C,,45.9,45.0,Biden,Biden,363.0,370.0,73.0
87,2020-06-03 00:00:00.000000,arizona,A-,"1,002",RV,Change Research,https://www.changeresearch.com/post/states-of-play-battleground-wave-6,46.0,42.0,Online,65,+1.0,+1.3, C-,,44.9,42.0,Biden,Biden,421.0,450.0,131.0
88,2020-06-03 00:00:00.000000,florida,C-,"1,186",LV,Change Research,https://www.changeresearch.com/post/states-of-play-battleground-wave-6,48.0,45.0,Online,65,+1.0,+1.3, C-,,46.9,45.0,Biden,Biden,534.0,556.0,96.0
89,2020-06-04 00:00:00.000000,california,A/B,"1,048",LV,Public Policy Institute of California,https://www.ppic.org/wp-content/uploads/ppic-statewide-survey-californians-and-their-government-may-2020.pdf,57.0,33.0,Live,16,0.0,-0.3, A/B,,57.0,32.0,Biden,Biden,335.0,597.0,116.0
90,2020-06-04 00:00:00.000000,north-carolina,B,949,V,Public Policy Polling,https://www.publicpolicypolling.com/wp-content/uploads/2020/06/NCResultsJune2020.pdf,49.0,45.0,IVR/text,423,-0.4,+0.1, B,,48.7,45.0,Biden,Biden,427.0,462.0,60.0
91,2020-06-05 00:00:00.000000,iowa,B,963,V,Public Policy Polling,https://secure.emilyslist.org/page/-/IowaResults.pdf,47.0,48.0,IVR/text,423,-0.4,+0.1, B,,46.7,48.0,Trump,Trump,462.0,450.0,51.0
92,2020-06-05 00:00:00.000000,texas,B,682,V,Public Policy Polling,https://www.texasdemocrats.org/wp-content/uploads/2020/06/TexasResults.pdf,48.0,48.0,IVR/text,423,-0.4,+0.1, B,,47.7,48.0,Tie,Trump,327.0,325.0,30.0
93,2020-06-07 00:00:00.000000,michigan,B+,600,LV,EPIC-MRA,https://ssl2002.webhosting.comcast.net/epic-mra/press/Stwd_Survey_June2020_FreePress_Freq.pdf,53.0,41.0,Live,49,-0.8,-0.2, B+,,53.0,40.8,Biden,Biden,245.0,318.0,37.0
94,2020-06-09 00:00:00.000000,kentucky,B/C,500,RV,RMG Research,https://www.termlimits.com/mcgrath/,36.0,53.0,IVR/online,1,-5.1,+1.2, B/C,,36.0,53.0,Trump,Trump,265.0,180.0,55.0
95,2020-06-09 00:00:00.000000,tennessee,B/C,"1,000",RV,SSRS,https://www.vanderbilt.edu/csdi/2020_Spring_topline.pdf,42.0,51.0,Live,18,+1.3,+0.2, B/C,,40.8,51.0,Trump,Trump,510.0,408.0,82.0
